time,JPG Name,Index,Throttle_PWM,Steering_PWM
13:49:54:323209,Aug9_DataCollection_1.jpg,1,111,84
13:49:54:431387,Aug9_DataCollection_2.jpg,2,111,84
13:49:54:530956,Aug9_DataCollection_3.jpg,3,111,84
13:49:54:633572,Aug9_DataCollection_4.jpg,4,110,84
13:49:54:737251,Aug9_DataCollection_5.jpg,5,111,84
13:49:54:838019,Aug9_DataCollection_6.jpg,6,111,83
13:49:54:943474,Aug9_DataCollection_7.jpg,7,110,84
13:49:55:040688,Aug9_DataCollection_8.jpg,8,110,84
13:49:55:145389,Aug9_DataCollection_9.jpg,9,111,85
13:49:55:280330,Aug9_DataCollection_10.jpg,10,112,96
13:49:55:388655,Aug9_DataCollection_11.jpg,11,113,99
13:49:55:486717,Aug9_DataCollection_12.jpg,12,114,108
13:49:55:590085,Aug9_DataCollection_13.jpg,13,116,106
13:49:55:697274,Aug9_DataCollection_14.jpg,14,116,113
13:49:55:798479,Aug9_DataCollection_15.jpg,15,116,132
13:49:55:902323,Aug9_DataCollection_16.jpg,16,116,135
13:49:56:006225,Aug9_DataCollection_17.jpg,17,116,141
13:49:56:101267,Aug9_DataCollection_18.jpg,18,114,151
13:49:56:220644,Aug9_DataCollection_19.jpg,19,113,153
13:49:56:333734,Aug9_DataCollection_20.jpg,20,114,158
13:49:56:430108,Aug9_DataCollection_21.jpg,21,111,177
13:49:56:549021,Aug9_DataCollection_22.jpg,22,111,177
13:49:56:651468,Aug9_DataCollection_23.jpg,23,111,177
13:49:56:744057,Aug9_DataCollection_24.jpg,24,111,176
13:49:56:846589,Aug9_DataCollection_25.jpg,25,111,174
13:49:56:941065,Aug9_DataCollection_26.jpg,26,112,180
13:49:57:051117,Aug9_DataCollection_27.jpg,27,116,180
13:49:57:162478,Aug9_DataCollection_28.jpg,28,116,171
13:49:57:261675,Aug9_DataCollection_29.jpg,29,116,165
13:49:57:371945,Aug9_DataCollection_30.jpg,30,116,154
13:49:57:469256,Aug9_DataCollection_31.jpg,31,116,142
13:49:57:572474,Aug9_DataCollection_32.jpg,32,116,152
13:49:57:678800,Aug9_DataCollection_33.jpg,33,116,160
13:49:57:773695,Aug9_DataCollection_34.jpg,34,116,159
13:49:57:885361,Aug9_DataCollection_35.jpg,35,116,158
13:49:57:992257,Aug9_DataCollection_36.jpg,36,116,158
13:49:58:100323,Aug9_DataCollection_37.jpg,37,116,164
13:49:58:203478,Aug9_DataCollection_38.jpg,38,114,164
13:49:58:308651,Aug9_DataCollection_39.jpg,39,109,174
13:49:58:422129,Aug9_DataCollection_40.jpg,40,109,177
13:49:58:525143,Aug9_DataCollection_41.jpg,41,111,177
13:49:58:626844,Aug9_DataCollection_42.jpg,42,114,177
13:49:58:730226,Aug9_DataCollection_43.jpg,43,115,177
13:49:58:825563,Aug9_DataCollection_44.jpg,44,116,169
13:49:58:941376,Aug9_DataCollection_45.jpg,45,117,165
