time,JPG Name,Index,Throttle_PWM,Steering_PWM
13:58:38:516730,Aug9_DataCollection3_1.jpg,1,114,174
13:58:38:585040,Aug9_DataCollection3_2.jpg,2,114,175
13:58:38:638627,Aug9_DataCollection3_3.jpg,3,115,178
13:58:38:701969,Aug9_DataCollection3_4.jpg,4,115,178
13:58:38:756161,Aug9_DataCollection3_5.jpg,5,115,178
13:58:38:808625,Aug9_DataCollection3_6.jpg,6,115,178
13:58:38:874310,Aug9_DataCollection3_7.jpg,7,116,176
13:58:38:927538,Aug9_DataCollection3_8.jpg,8,116,172
13:58:38:983403,Aug9_DataCollection3_9.jpg,9,116,170
13:58:39:041215,Aug9_DataCollection3_10.jpg,10,116,170
13:58:39:106644,Aug9_DataCollection3_11.jpg,11,116,163
13:58:39:172091,Aug9_DataCollection3_12.jpg,12,117,118
13:58:39:225571,Aug9_DataCollection3_13.jpg,13,117,118
13:58:39:286528,Aug9_DataCollection3_14.jpg,14,116,86
13:58:39:341522,Aug9_DataCollection3_15.jpg,15,116,77
13:58:39:395491,Aug9_DataCollection3_16.jpg,16,116,77
13:58:39:454596,Aug9_DataCollection3_17.jpg,17,116,53
13:58:39:514562,Aug9_DataCollection3_18.jpg,18,116,45
13:58:39:571151,Aug9_DataCollection3_19.jpg,19,116,45
13:58:39:631789,Aug9_DataCollection3_20.jpg,20,117,46
13:58:39:688596,Aug9_DataCollection3_21.jpg,21,117,46
13:58:39:746551,Aug9_DataCollection3_22.jpg,22,117,46
13:58:39:805900,Aug9_DataCollection3_23.jpg,23,117,56
13:58:39:867230,Aug9_DataCollection3_24.jpg,24,117,71
13:58:39:922610,Aug9_DataCollection3_25.jpg,25,117,71
13:58:39:976620,Aug9_DataCollection3_26.jpg,26,117,76
13:58:40:031124,Aug9_DataCollection3_27.jpg,27,116,79
13:58:40:093711,Aug9_DataCollection3_28.jpg,28,116,79
13:58:40:145640,Aug9_DataCollection3_29.jpg,29,116,85
13:58:40:199277,Aug9_DataCollection3_30.jpg,30,117,86
13:58:40:268333,Aug9_DataCollection3_31.jpg,31,117,86
13:58:40:322535,Aug9_DataCollection3_32.jpg,32,117,85
13:58:40:378472,Aug9_DataCollection3_33.jpg,33,117,100
13:58:40:437811,Aug9_DataCollection3_34.jpg,34,117,100
